EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 119378) of UNITED KINGDOM, CAMBRIDGE (B. GDNS) (STAID: 1639)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  1639,119378,19521119,-9999,    9
  1639,119378,19521120,-9999,    9
  1639,119378,19521121,-9999,    9
  1639,119378,19521122,-9999,    9
  1639,119378,19521123,-9999,    9
  1639,119378,19521124,-9999,    9
  1639,119378,19521125,-9999,    9
  1639,119378,19521126,-9999,    9
  1639,119378,19521127,-9999,    9
  1639,119378,19521128,-9999,    9
  1639,119378,19521129,-9999,    9
  1639,119378,19521130,-9999,    9
  1639,119378,19521201,-9999,    9
  1639,119378,19521202,-9999,    9
  1639,119378,19521203,-9999,    9
  1639,119378,19521204,-9999,    9
  1639,119378,19521205,-9999,    9
  1639,119378,19521206,-9999,    9
  1639,119378,19521207,-9999,    9
  1639,119378,19521208,-9999,    9
  1639,119378,19521209,-9999,    9
  1639,119378,19521210,-9999,    9
  1639,119378,19521211,-9999,    9
  1639,119378,19521212,-9999,    9
  1639,119378,19521213,-9999,    9
  1639,119378,19521214,-9999,    9
  1639,119378,19521215,-9999,    9
  1639,119378,19521216,-9999,    9
  1639,119378,19521217,-9999,    9
  1639,119378,19521218,-9999,    9
  1639,119378,19521219,-9999,    9
  1639,119378,19521220,-9999,    9
  1639,119378,19521221,-9999,    9
  1639,119378,19521222,-9999,    9
  1639,119378,19521223,-9999,    9
  1639,119378,19521224,-9999,    9
  1639,119378,19521225,-9999,    9
  1639,119378,19521226,-9999,    9
  1639,119378,19521227,-9999,    9
  1639,119378,19521228,-9999,    9
  1639,119378,19521229,-9999,    9
  1639,119378,19521230,-9999,    9
  1639,119378,19521231,-9999,    9
  1639,119378,19530101,-9999,    9
  1639,119378,19530102,-9999,    9
  1639,119378,19530103,-9999,    9
  1639,119378,19530104,-9999,    9
  1639,119378,19530105,-9999,    9
  1639,119378,19530106,-9999,    9
  1639,119378,19530107,-9999,    9
  1639,119378,19530108,-9999,    9
  1639,119378,19530109,-9999,    9
  1639,119378,19530110,-9999,    9
  1639,119378,19530111,-9999,    9
  1639,119378,19530112,-9999,    9
  1639,119378,19530113,-9999,    9
  1639,119378,19530114,-9999,    9
  1639,119378,19530115,-9999,    9
  1639,119378,19530116,-9999,    9
  1639,119378,19530117,-9999,    9
  1639,119378,19530118,-9999,    9
  1639,119378,19530119,-9999,    9
  1639,119378,19530120,-9999,    9
  1639,119378,19530121,-9999,    9
  1639,119378,19530122,-9999,    9
  1639,119378,19530123,-9999,    9
  1639,119378,19530124,-9999,    9
  1639,119378,19530125,-9999,    9
  1639,119378,19530126,-9999,    9
  1639,119378,19530127,-9999,    9
  1639,119378,19530128,-9999,    9
  1639,119378,19530129,-9999,    9
  1639,119378,19530130,-9999,    9
  1639,119378,19530131,-9999,    9
  1639,119378,19530201,-9999,    9
  1639,119378,19530202,-9999,    9
  1639,119378,19530203,-9999,    9
  1639,119378,19530204,-9999,    9
  1639,119378,19530205,-9999,    9
  1639,119378,19530206,-9999,    9
  1639,119378,19530207,-9999,    9
  1639,119378,19530208,-9999,    9
  1639,119378,19530209,-9999,    9
  1639,119378,19530210,-9999,    9
  1639,119378,19530211,-9999,    9
  1639,119378,19530212,-9999,    9
  1639,119378,19530213,-9999,    9
  1639,119378,19530214,-9999,    9
  1639,119378,19530215,-9999,    9
  1639,119378,19530216,-9999,    9
  1639,119378,19530217,-9999,    9
  1639,119378,19530218,-9999,    9
  1639,119378,19530219,-9999,    9
  1639,119378,19530220,-9999,    9
  1639,119378,19530221,-9999,    9
  1639,119378,19530222,-9999,    9
  1639,119378,19530223,-9999,    9
  1639,119378,19530224,-9999,    9
  1639,119378,19530225,-9999,    9
  1639,119378,19530226,-9999,    9
  1639,119378,19530227,-9999,    9
  1639,119378,19530228,-9999,    9
  1639,119378,19530301,-9999,    9
  1639,119378,19530302,-9999,    9
  1639,119378,19530303,-9999,    9
  1639,119378,19530304,-9999,    9
  1639,119378,19530305,-9999,    9
  1639,119378,19530306,-9999,    9
  1639,119378,19530307,-9999,    9
  1639,119378,19530308,-9999,    9
  1639,119378,19530309,-9999,    9
  1639,119378,19530310,-9999,    9
  1639,119378,19530311,-9999,    9
  1639,119378,19530312,-9999,    9
  1639,119378,19530313,-9999,    9
  1639,119378,19530314,-9999,    9
  1639,119378,19530315,-9999,    9
  1639,119378,19530316,-9999,    9
  1639,119378,19530317,-9999,    9
  1639,119378,19530318,-9999,    9
  1639,119378,19530319,-9999,    9
  1639,119378,19530320,-9999,    9
  1639,119378,19530321,-9999,    9
  1639,119378,19530322,-9999,    9
  1639,119378,19530323,-9999,    9
  1639,119378,19530324,-9999,    9
  1639,119378,19530325,-9999,    9
  1639,119378,19530326,-9999,    9
  1639,119378,19530327,-9999,    9
  1639,119378,19530328,-9999,    9
  1639,119378,19530329,-9999,    9
  1639,119378,19530330,-9999,    9
  1639,119378,19530331,-9999,    9
  1639,119378,19530401,-9999,    9
  1639,119378,19530402,-9999,    9
  1639,119378,19530403,-9999,    9
  1639,119378,19530404,-9999,    9
  1639,119378,19530405,-9999,    9
  1639,119378,19530406,-9999,    9
  1639,119378,19530407,-9999,    9
  1639,119378,19530408,-9999,    9
  1639,119378,19530409,-9999,    9
  1639,119378,19530410,-9999,    9
  1639,119378,19530411,-9999,    9
  1639,119378,19530412,-9999,    9
  1639,119378,19530413,-9999,    9
  1639,119378,19530414,-9999,    9
  1639,119378,19530415,-9999,    9
  1639,119378,19530416,-9999,    9
  1639,119378,19530417,-9999,    9
  1639,119378,19530418,-9999,    9
  1639,119378,19530419,-9999,    9
  1639,119378,19530420,-9999,    9
  1639,119378,19530421,-9999,    9
  1639,119378,19530422,-9999,    9
  1639,119378,19530423,-9999,    9
  1639,119378,19530424,-9999,    9
  1639,119378,19530425,-9999,    9
  1639,119378,19530426,-9999,    9
  1639,119378,19530427,-9999,    9
  1639,119378,19530428,-9999,    9
  1639,119378,19530429,-9999,    9
  1639,119378,19530430,-9999,    9
  1639,119378,19530501,-9999,    9
  1639,119378,19530502,-9999,    9
  1639,119378,19530503,-9999,    9
  1639,119378,19530504,-9999,    9
  1639,119378,19530505,-9999,    9
  1639,119378,19530506,-9999,    9
  1639,119378,19530507,-9999,    9
  1639,119378,19530508,-9999,    9
  1639,119378,19530509,-9999,    9
  1639,119378,19530510,-9999,    9
  1639,119378,19530511,-9999,    9
  1639,119378,19530512,-9999,    9
  1639,119378,19530513,-9999,    9
  1639,119378,19530514,-9999,    9
  1639,119378,19530515,-9999,    9
  1639,119378,19530516,-9999,    9
  1639,119378,19530517,-9999,    9
  1639,119378,19530518,-9999,    9
  1639,119378,19530519,-9999,    9
  1639,119378,19530520,-9999,    9
  1639,119378,19530521,-9999,    9
  1639,119378,19530522,-9999,    9
  1639,119378,19530523,-9999,    9
  1639,119378,19530524,-9999,    9
  1639,119378,19530525,-9999,    9
  1639,119378,19530526,-9999,    9
  1639,119378,19530527,-9999,    9
  1639,119378,19530528,-9999,    9
  1639,119378,19530529,-9999,    9
  1639,119378,19530530,-9999,    9
  1639,119378,19530531,-9999,    9
  1639,119378,19530601,-9999,    9
  1639,119378,19530602,-9999,    9
  1639,119378,19530603,-9999,    9
  1639,119378,19530604,-9999,    9
  1639,119378,19530605,-9999,    9
  1639,119378,19530606,-9999,    9
  1639,119378,19530607,-9999,    9
  1639,119378,19530608,-9999,    9
  1639,119378,19530609,-9999,    9
  1639,119378,19530610,-9999,    9
  1639,119378,19530611,-9999,    9
  1639,119378,19530612,-9999,    9
  1639,119378,19530613,-9999,    9
  1639,119378,19530614,-9999,    9
  1639,119378,19530615,-9999,    9
  1639,119378,19530616,-9999,    9
  1639,119378,19530617,-9999,    9
  1639,119378,19530618,-9999,    9
  1639,119378,19530619,-9999,    9
  1639,119378,19530620,-9999,    9
  1639,119378,19530621,-9999,    9
  1639,119378,19530622,-9999,    9
  1639,119378,19530623,-9999,    9
  1639,119378,19530624,-9999,    9
  1639,119378,19530625,-9999,    9
  1639,119378,19530626,-9999,    9
  1639,119378,19530627,-9999,    9
  1639,119378,19530628,-9999,    9
  1639,119378,19530629,-9999,    9
  1639,119378,19530630,-9999,    9
  1639,119378,19530701,-9999,    9
  1639,119378,19530702,-9999,    9
  1639,119378,19530703,-9999,    9
  1639,119378,19530704,-9999,    9
  1639,119378,19530705,-9999,    9
  1639,119378,19530706,-9999,    9
  1639,119378,19530707,-9999,    9
  1639,119378,19530708,-9999,    9
  1639,119378,19530709,-9999,    9
  1639,119378,19530710,-9999,    9
  1639,119378,19530711,-9999,    9
  1639,119378,19530712,-9999,    9
  1639,119378,19530713,-9999,    9
  1639,119378,19530714,-9999,    9
  1639,119378,19530715,-9999,    9
  1639,119378,19530716,-9999,    9
  1639,119378,19530717,-9999,    9
  1639,119378,19530718,-9999,    9
  1639,119378,19530719,-9999,    9
  1639,119378,19530720,-9999,    9
  1639,119378,19530721,-9999,    9
  1639,119378,19530722,-9999,    9
  1639,119378,19530723,-9999,    9
  1639,119378,19530724,-9999,    9
  1639,119378,19530725,-9999,    9
  1639,119378,19530726,-9999,    9
  1639,119378,19530727,-9999,    9
  1639,119378,19530728,-9999,    9
  1639,119378,19530729,-9999,    9
  1639,119378,19530730,-9999,    9
  1639,119378,19530731,-9999,    9
  1639,119378,19530801,-9999,    9
  1639,119378,19530802,-9999,    9
  1639,119378,19530803,-9999,    9
  1639,119378,19530804,-9999,    9
  1639,119378,19530805,-9999,    9
  1639,119378,19530806,-9999,    9
  1639,119378,19530807,-9999,    9
  1639,119378,19530808,-9999,    9
  1639,119378,19530809,-9999,    9
  1639,119378,19530810,-9999,    9
  1639,119378,19530811,-9999,    9
  1639,119378,19530812,-9999,    9
  1639,119378,19530813,-9999,    9
  1639,119378,19530814,-9999,    9
  1639,119378,19530815,-9999,    9
  1639,119378,19530816,-9999,    9
  1639,119378,19530817,-9999,    9
  1639,119378,19530818,-9999,    9
  1639,119378,19530819,-9999,    9
  1639,119378,19530820,-9999,    9
  1639,119378,19530821,-9999,    9
  1639,119378,19530822,-9999,    9
  1639,119378,19530823,-9999,    9
  1639,119378,19530824,-9999,    9
  1639,119378,19530825,-9999,    9
  1639,119378,19530826,-9999,    9
  1639,119378,19530827,-9999,    9
  1639,119378,19530828,-9999,    9
  1639,119378,19530829,-9999,    9
  1639,119378,19530830,-9999,    9
  1639,119378,19530831,-9999,    9
  1639,119378,19530901,-9999,    9
  1639,119378,19530902,-9999,    9
  1639,119378,19530903,-9999,    9
  1639,119378,19530904,-9999,    9
  1639,119378,19530905,-9999,    9
  1639,119378,19530906,-9999,    9
  1639,119378,19530907,-9999,    9
  1639,119378,19530908,-9999,    9
  1639,119378,19530909,-9999,    9
  1639,119378,19530910,-9999,    9
  1639,119378,19530911,-9999,    9
  1639,119378,19530912,-9999,    9
  1639,119378,19530913,-9999,    9
  1639,119378,19530914,-9999,    9
  1639,119378,19530915,-9999,    9
  1639,119378,19530916,-9999,    9
  1639,119378,19530917,-9999,    9
  1639,119378,19530918,-9999,    9
  1639,119378,19530919,-9999,    9
  1639,119378,19530920,-9999,    9
  1639,119378,19530921,-9999,    9
  1639,119378,19530922,-9999,    9
  1639,119378,19530923,-9999,    9
  1639,119378,19530924,-9999,    9
  1639,119378,19530925,-9999,    9
  1639,119378,19530926,-9999,    9
  1639,119378,19530927,-9999,    9
  1639,119378,19530928,-9999,    9
  1639,119378,19530929,-9999,    9
  1639,119378,19530930,-9999,    9
  1639,119378,19531001,-9999,    9
  1639,119378,19531002,-9999,    9
  1639,119378,19531003,-9999,    9
  1639,119378,19531004,-9999,    9
  1639,119378,19531005,-9999,    9
  1639,119378,19531006,-9999,    9
  1639,119378,19531007,-9999,    9
  1639,119378,19531008,-9999,    9
  1639,119378,19531009,-9999,    9
  1639,119378,19531010,-9999,    9
  1639,119378,19531011,-9999,    9
  1639,119378,19531012,-9999,    9
  1639,119378,19531013,-9999,    9
  1639,119378,19531014,-9999,    9
  1639,119378,19531015,-9999,    9
  1639,119378,19531016,-9999,    9
  1639,119378,19531017,-9999,    9
  1639,119378,19531018,-9999,    9
  1639,119378,19531019,-9999,    9
  1639,119378,19531020,-9999,    9
  1639,119378,19531021,-9999,    9
  1639,119378,19531022,-9999,    9
  1639,119378,19531023,-9999,    9
  1639,119378,19531024,-9999,    9
  1639,119378,19531025,-9999,    9
  1639,119378,19531026,-9999,    9
  1639,119378,19531027,-9999,    9
  1639,119378,19531028,-9999,    9
  1639,119378,19531029,-9999,    9
  1639,119378,19531030,-9999,    9
  1639,119378,19531031,-9999,    9
  1639,119378,19531101,-9999,    9
  1639,119378,19531102,-9999,    9
  1639,119378,19531103,-9999,    9
  1639,119378,19531104,-9999,    9
  1639,119378,19531105,-9999,    9
  1639,119378,19531106,-9999,    9
  1639,119378,19531107,-9999,    9
  1639,119378,19531108,-9999,    9
  1639,119378,19531109,-9999,    9
  1639,119378,19531110,-9999,    9
  1639,119378,19531111,-9999,    9
  1639,119378,19531112,-9999,    9
  1639,119378,19531113,-9999,    9
  1639,119378,19531114,-9999,    9
  1639,119378,19531115,-9999,    9
  1639,119378,19531116,-9999,    9
  1639,119378,19531117,-9999,    9
  1639,119378,19531118,-9999,    9
  1639,119378,19531119,-9999,    9
  1639,119378,19531120,-9999,    9
  1639,119378,19531121,-9999,    9
  1639,119378,19531122,-9999,    9
  1639,119378,19531123,-9999,    9
  1639,119378,19531124,-9999,    9
  1639,119378,19531125,-9999,    9
  1639,119378,19531126,-9999,    9
  1639,119378,19531127,-9999,    9
  1639,119378,19531128,-9999,    9
  1639,119378,19531129,-9999,    9
  1639,119378,19531130,-9999,    9
  1639,119378,19531201,-9999,    9
  1639,119378,19531202,-9999,    9
  1639,119378,19531203,-9999,    9
  1639,119378,19531204,-9999,    9
  1639,119378,19531205,-9999,    9
  1639,119378,19531206,-9999,    9
  1639,119378,19531207,-9999,    9
  1639,119378,19531208,-9999,    9
  1639,119378,19531209,-9999,    9
  1639,119378,19531210,-9999,    9
  1639,119378,19531211,-9999,    9
  1639,119378,19531212,-9999,    9
  1639,119378,19531213,-9999,    9
  1639,119378,19531214,-9999,    9
  1639,119378,19531215,-9999,    9
  1639,119378,19531216,-9999,    9
  1639,119378,19531217,-9999,    9
  1639,119378,19531218,-9999,    9
  1639,119378,19531219,-9999,    9
  1639,119378,19531220,-9999,    9
  1639,119378,19531221,-9999,    9
  1639,119378,19531222,-9999,    9
  1639,119378,19531223,-9999,    9
  1639,119378,19531224,-9999,    9
  1639,119378,19531225,-9999,    9
  1639,119378,19531226,-9999,    9
  1639,119378,19531227,-9999,    9
  1639,119378,19531228,-9999,    9
  1639,119378,19531229,-9999,    9
  1639,119378,19531230,-9999,    9
  1639,119378,19531231,-9999,    9
  1639,119378,19540101,-9999,    9
  1639,119378,19540102,-9999,    9
  1639,119378,19540103,-9999,    9
  1639,119378,19540104,-9999,    9
  1639,119378,19540105,-9999,    9
  1639,119378,19540106,-9999,    9
  1639,119378,19540107,-9999,    9
  1639,119378,19540108,-9999,    9
  1639,119378,19540109,-9999,    9
  1639,119378,19540110,-9999,    9
  1639,119378,19540111,-9999,    9
  1639,119378,19540112,-9999,    9
  1639,119378,19540113,-9999,    9
  1639,119378,19540114,-9999,    9
  1639,119378,19540115,-9999,    9
  1639,119378,19540116,-9999,    9
  1639,119378,19540117,-9999,    9
  1639,119378,19540118,-9999,    9
  1639,119378,19540119,-9999,    9
  1639,119378,19540120,-9999,    9
  1639,119378,19540121,-9999,    9
  1639,119378,19540122,-9999,    9
  1639,119378,19540123,-9999,    9
  1639,119378,19540124,-9999,    9
  1639,119378,19540125,-9999,    9
  1639,119378,19540126,-9999,    9
  1639,119378,19540127,-9999,    9
  1639,119378,19540128,-9999,    9
  1639,119378,19540129,-9999,    9
  1639,119378,19540130,-9999,    9
  1639,119378,19540131,-9999,    9
  1639,119378,19540201,-9999,    9
  1639,119378,19540202,-9999,    9
  1639,119378,19540203,-9999,    9
  1639,119378,19540204,-9999,    9
  1639,119378,19540205,-9999,    9
  1639,119378,19540206,-9999,    9
  1639,119378,19540207,-9999,    9
  1639,119378,19540208,-9999,    9
  1639,119378,19540209,-9999,    9
  1639,119378,19540210,-9999,    9
  1639,119378,19540211,-9999,    9
  1639,119378,19540212,-9999,    9
  1639,119378,19540213,-9999,    9
  1639,119378,19540214,-9999,    9
  1639,119378,19540215,-9999,    9
  1639,119378,19540216,-9999,    9
  1639,119378,19540217,-9999,    9
  1639,119378,19540218,-9999,    9
  1639,119378,19540219,-9999,    9
  1639,119378,19540220,-9999,    9
  1639,119378,19540221,-9999,    9
  1639,119378,19540222,-9999,    9
  1639,119378,19540223,-9999,    9
  1639,119378,19540224,-9999,    9
  1639,119378,19540225,-9999,    9
  1639,119378,19540226,-9999,    9
  1639,119378,19540227,-9999,    9
  1639,119378,19540228,-9999,    9
  1639,119378,19540301,-9999,    9
  1639,119378,19540302,-9999,    9
  1639,119378,19540303,-9999,    9
  1639,119378,19540304,-9999,    9
  1639,119378,19540305,-9999,    9
  1639,119378,19540306,-9999,    9
  1639,119378,19540307,-9999,    9
  1639,119378,19540308,-9999,    9
  1639,119378,19540309,-9999,    9
  1639,119378,19540310,-9999,    9
  1639,119378,19540311,-9999,    9
  1639,119378,19540312,-9999,    9
  1639,119378,19540313,-9999,    9
  1639,119378,19540314,-9999,    9
  1639,119378,19540315,-9999,    9
  1639,119378,19540316,-9999,    9
  1639,119378,19540317,-9999,    9
  1639,119378,19540318,-9999,    9
  1639,119378,19540319,-9999,    9
  1639,119378,19540320,-9999,    9
  1639,119378,19540321,-9999,    9
  1639,119378,19540322,-9999,    9
  1639,119378,19540323,-9999,    9
  1639,119378,19540324,-9999,    9
  1639,119378,19540325,-9999,    9
  1639,119378,19540326,-9999,    9
  1639,119378,19540327,-9999,    9
  1639,119378,19540328,-9999,    9
  1639,119378,19540329,-9999,    9
  1639,119378,19540330,-9999,    9
  1639,119378,19540331,-9999,    9
  1639,119378,19540401,-9999,    9
  1639,119378,19540402,-9999,    9
